Review_Text,Review_Rating,Sentiment Class
My favorite pair of everyday shoes are Puma shoes and I have had them for 6 years and put over 300 miles on them for running and retired them just because they started ripping but I can not find them anymore to buy another pair . I still wear them for errands and other occasions .,2,Positive
I have these same shoes in black and these ones kill my feet  ,2,Negative
I do not like these hiking shoes at all .,2,Negative
cheaper laces,2,Negative
I always buy Adidas these seem to be a cheaper shoe possibly a knock off .,2,Positive
after a day wearing them my knees are sore too .,2,Negative
Ordered 12 wide and 11 1/2 was shipped .,2,Negative
The light weight would probably make them good to great for walking .,2,Positive
I ordered an 11 - 1/2 but I normally wear an 11 .,2,Neutral
I have bought at least 8 pair of Asics 13 M in the past and this is the first time I 've had a problem with fit .,2,Negative
I 'm disappointed with this product & I 'm repenting for buying this pair .,2,Negative
I like the shoes but I ordered a 9.5 and they sent me a size 9 so a 2/5 for that reason .,2,Negative
the inner sole of the right shoe came loose in the same manner and rides up on my heel every time I wear them .,2,Negative
and you could see where socks had left cotton balls in the inside heal,2,Negative
but your shoes are getting worse and worse .,2,Negative
Received them with a little tear on the right foot toe of it .,2,Negative
I rarely get both shoes on such that the both shoes laces are above the tongue .,2,Negative
the bottoms of the shoe lost their traction and started to cave in,2,Negative
Alsothe shoe is like walking on concrete all the time .,2,Negative
The tongue of the shoe was actually lengthened to accomodate the logo  ,2,Negative
i have this shoes for 2 months i bought amazon for work but only worst thing which is always annoying is the sole of these shoes very low quality and when you walk it start making noises chuu chuu which is do n't like it,2,Negative
The only feature that is not a falsehood is that it is light -weight .,2,Positive
The insoles are very hard and almost feel like wood planks .,2,Negative
and the design causes the seam below the laces to indent into the tops of your feet .,2,Negative
Returned .,2,Negative
I have run in all Asics GT line for over 12 years but the latest do not last more than 250 miles ( a 45% reduction in durability ) .. thus the need for a new shoe .,2,Negative
Too bad for the company .,2,Negative
Guess I will be sticking with my Nike Air Max . . .,2,Positive
The mesh has begun to fray in the tie area already .,2,Negative
Gon na return both .,2,Negative
It is really unbelievable .,2,Positive
This modelhoweverwas not the same in fit and comfort .,2,Negative
Have bought three pairs of New Balance recently .,2,Neutral
and the soles felt like they were made from plywood .,2,Negative
I returned the shoes and am still looking for a suitable replacement .,2,Negative
The coworkers I have swear by the Sketchers name brand to remedy tired sore feet . I bought a pair,2,Positive
Too smal not really a jogging shoe after trying them on a mile jog my feet where in pain something not experience with my old shoes .. not worth the price would not recommend,2,Negative
Pros - they fit good look good,2,Positive
my big toes are cramped .,2,Negative
U have to buy it .5 size bigger than your usual .,2,Negative
the shoes fit fine but after a month or so the colors are wearing off .,2,Neutral
They were recommended to me by a runner at my local running store .,2,Positive
Should have believed some of the prior reviewspointing out the problem but some reviewers stated they fit just fine .,2,Positive
Not to sure whylooks like it was not adhered properly .,2,Negative
They need to cover every size and make a 6E as well .,2,Negative
Narrow for 4E width .,2,Negative
They 're nice shoes .,2,Positive
After about 4 monthsrips started appearing in the memory foam in - sole under my big toes .,2,Negative
When i tried these oni was happy with how they felt .,2,Positive
If you have insole wear in them order a size up,2,Neutral
I ordered 11.5usually get 11s ( took the recommendation from other reviews ) but right shoe was cut wrong .,2,Negative
but feel more comfortable after a few days of wear .,2,Positive
I think most people will be surprised by the tight uncomfortable fit .,2,Negative
I 've been buying ASICS for years now and love them .,2,Positive
I returned them immediatelybut haven't received my US 16 4E ( Amazon only had B D and 4E ) exchange pair .,2,Negative
I ended up in so much pain using these to train in the begininging ... don't skimp,2,Negative
"they are have the same problem "" one of the shoe lost the elasticity on heel after few weeks you will feel uneven "" .",2,Negative
I developed an injury in my mid toes due to the pinching .,2,Negative
For some reason these shoes have a distinct squeak to them inside the sole itself .,2,Negative
My foot where in pain after 30 min of walking ..,2,Negative
These New Balance M1080 's were a big disappointment .,2,Negative
Bad cushioning ...,2,Negative
I was hoping to use the shoes at least for 1 year but they are n't durable .,2,Negative
First impression is this seems narrower & just as uncomfortable .,2,Negative
Returned them for a refund .,2,Negative
Not the normal experience i have had with Assics .,2,Negative
The tongue is a piece uncovered foam .,2,Negative
Over the years I 've owned maybe 10 pairs of Asics 33 series and I have always been very pleased with the fit comfort and durability of these shoes .,2,Positive
Stitching is very very poor  ,2,Negative
From the moment I put on this Saucony product it felt uncomfortable .,2,Negative
Had to give both to a lady who wears a 6 - 1/2 .,2,Negative
and the memory foam is wearing a way to the point where I replaced the insole,2,Negative
I 've had 19 20 and 21 versions of the kayano,2,Positive
7 spikes on each shoe .... but only came with 4 spikes not 14,2,Negative
Returned them to Amazon with no issues .,2,Negative
Fit wellbut there was a smudge mark on the shoe .,2,Negative
These feel like a much cheaper quality and design .,2,Negative
I put a little more use into shoes than the average person ( I walk a lot ) but I 'm not a runner so I 'm still using these shoes a lot less than they were intended to be used .,2,Neutral
You could purchase a wider size to offset but,2,Neutral
The aesthetics of this shoe are not the same as previous years .,2,Negative
HoweverI was sent the newer shoe model which I am not satisfied with .,2,Negative
Having said thatthe shoes were very comfortable and I would purchase another pair if it was n't for them needed to be replaced every three months .,2,Positive
I returned these because I did not like the fit .,2,Negative
Second pair of Saucony 's to wear out in the heel cup in less than 6 months .,2,Negative
These shoes go from walking on pillows to walking on crap .,2,Negative
they fit much smallera little narrower and my toe touches the tip . Ca nt use these .,2,Negative
Shoe fits and looks as expected,2,Positive
the shoes do nt match the standard size,2,Negative
They are nice looking shoes,2,Positive
The fit is very weird,2,Negative
SoI guess it is back to another brand .,2,Negative
The shoe fits fine however the sole feels to thin and not supportive enough I regret purchasing this product should have stayed with a cross trainer gel based shoe instead would n't recommend them for support,2,Negative
I 'm returning these shoes for something else .,2,Negative
They look and fit great .,2,Positive
The foot bed ortho liner is the absolutely thinnest material I 've ever seen .... I was truly shocked .,2,Negative
am disappointed with how quickly spikes fell out .,,Negative
I will see how long I can wear the 928 .,2,Neutral
"but they narrowed the "" toebox "" ( the front of the shoe ) over past designs .",2,Negative
Nice pair of shoes ,2,Positive
Then after two weeksthere a hole in the memory foam of the shoe .,2,Negative
The quality of the shoe is really poor .,2,Negative
as I would n't want anyone else to experience the discomfort caused by this error in assembly .,2,Negative
I could n't wear them long enough to know if they were going to help .,2,Negative
( see picture ) I had foot surgery 12/1/2015 and did n't walk the whole month of Dec. Got these brand new so I 'd be ready to walk in comfort,2,Positive
One of the shoes makes a really annoying and embarrassing sticky noise every time I step .,2,Negative
It was n't as bad but ball of foot is still painful .,2,Negative
My shoes became pretty smelly very quickly .,2,Negative
I liked this shoes .,2,Positive
He looked at the shoe noticed no tread wear and the spent shoe with holes in it,2,Negative
I 've opted for Topo Ultrafly ... so far so good with them .,2,Positive
And they are too small for the claimed size .,2,Negative
poor fit,2,Negative
These are small and odd shaped .,2,Negative
Even inside there were parts that were hitting my husband 's foot and hurting all day .,2,Negative
but terrible laces .,,Negative
I switched to a different shoe and immediately had no problems .,2,Positive
Typicallywhen you order a shoe that is light weight is a good running shoe .,2,Positive
I found this shoe to provide very little in the way of cushioning .,2,Positive
They boast a great tread pattern for mostly road running ( which is why I got them,2,Positive
The shoes were labelled size 11 instead of 11 M as previous Reebok shoes that I have purchased .,2,Neutral
I am very disappointed in the durability of this shoe .,2,Negative
Long time NB customer .,2,Positive
but of course the style I wanted did n't come in that size so I tried them anyway .,2,Negative
Not as comfortable as other Nike running shoes .,2,Negative
the sizing was incorrect .,2,Negative
I measured the heels on my sneakers and noted that the right foot is a full half - centimeter more worn than the left shoe .,2,Negative
I loved my M1123 's size 9.5 6E shoes .,2,Positive
Uncomfortably runs ups against heel .,2,Negative
They are the right size but feel stiff,2,Negative
Normal size of ur foot will be small for this shoe .,2,Negative
Had a problem with one spike that kept coming out of the left shoe when I turned through the ball .,2,Negative
Though the shoes seemed to be the correct size ( as marked ) the narrow toe area was too tight ( barely any space ) .,2,Negative
Men 's US Size 8 ( product item # 990810 CT ) ; and also to fit right and comfortably New Balance 608 Leather White & Blue Men 's US Size 8D ( MX608 ) .,2,Positive
I guess I should of sent them back but it is too late now .,2,Negative
The width of 4E does not match up to other tennis shoes I bought which say 4E mainly the New Balance brand .,2,Negative
The heal wore through into the air - cell compartment causing it to go flat ( rendering the shoe unusable ) .,2,Negative
I have owned 4 pairs of XR Mission Shoes and been very satisfied .,2,Positive
does not fit like my last pair,2,Negative
Seems like these shoes do n't stay very consistent by size .,2,Negative
I am tempted to keep them just because in all other aspects I am satisfied ... foolish thought ca n't run in them comfortably .,2,Neutral
I had to take scissors and re cut all the rough edges of the tongue .,2,Negative
Looks like a nice show otherwise .,2,Positive
Loose & floppy fit w thin sides of little support .,2,Negative
I would buy these againbut only after wearing them first .,2,Neutral
The guard on the top of the shoe should have been deeper so the big toe would not push through the netting causing it to fail,2,Negative
normally have good experiences with asics but these were a huge let down .,2,Negative
I am not buying a reebok again .,2,Negative
I 've tried re - tying them to fit loose as possible and that did n't work .,2,Negative
it might get worse with these sneakers .,2,Negative
I like New Balance quality,2,Negative
Yet the inner sole of the shoe by itself is thin and offers very little to cushion each footfall .,2,Negative
Too bad,2,Negative
Did not fitotherwise liked the color,2,Negative
Feel stiff- like they are made of cardboard .,2,Negative
These shoes had no toe box whatsoever .,2,Negative
I wo n't buy these again .,2,Negative
I 've superglued it back onbut this is exceptionally poor quality to be falling apart after just a month .,2,Negative
my feet hurt after a very short distance .,2,Negative
it also has a stiffness to it,2,Negative
Very poor quality shoe .,2,Negative
all my previous shoes are 11 1/2 and 12 's so i decided to order a 11 1/2 because i have a pair of non steel toe new balances that size and they fit great and these shoes have a odd fit there like a 13 in length and and narow,2,Neutral
What is it for if not comfortable running,2,Negative
Not happy will likely return it .,2,Negative
They ca n't even make a 5k run .. I did n't expect to be able to do long runs in them,2,Negative
I had to replace the laces 3 time so far .,2,Negative
They ran large .,2,Negative
I ve used these for about a month now putting in around 30 miles on and off trails half expecting them to get better ( my hiking boots did ) but they have not .,2,Negative
shoes fit as expected by did n't care for the squared off toe area i could n't tell from the pics ... sent them back ...,2,Negative
The black pair is great and deserves 5 stars .,2,Positive
I did however expect better quality from such a reputable company .,2,Negative
These are a total waste of time and money though move on to something else .,2,Negative
which was a thick and very good cushion .,2,Positive
very tight in toe and sides as if made for children or asian feet .,2,Negative
Returned these shoes .,2,Negative
I love Nike and only use Nike for my athletics .,2,Positive
the comfort level is n't really there with the insoles .,2,Negative
I would advise that others consider a shoe size a half size larger than the size you would ordinarily wear .,3,Neutral
the new shoe was a wide shoe and it was still narrower and you can feel it when you wear it,3,Negative
And after using for 2 weeks right shoe 's seam teared even I just used for walking .,3,Negative
I d like to comment on durability and comfort over the long term .,3,Positive
but if I was n't a value shopper I probably could have thrown these out at 250 miles .,3,Negative
better than my running shoes   ,3,Positive
I liked the grey leather shoes,3,Positive
The toe box does n't have as much room and in general the running experience was n't as good compared to my previous Ghost 8 .,3,Negative
i know its a lite shoe,3,Neutral
I feel confortable ,3,Positive
Thought I would give these a spin due to the fact they were a great deal,3,Positive
FIRST TIME I HAVE ORDERED SHOES THAT DIDN'T FIT,3,Negative
Dew on the grass soaked threw very quickly .,3,Negative
but I hate that this sneakers are really slippery .,,Negative
The size of the Wave Prophecy 3 is the second pair of Mizuno runners I have purchased off Amazon .,3,Neutral
I generally have a rule of not buying running shoes with fabric loops for the laces as they always break way before the shoes are dead .,3,Negative
In regular footwear I 'm a size 9 to 9.5 .,3,Neutral
Fit well ,3,Positive
"The shoes are a little "" clunky "" and heavier than running shoes",3,Negative
Right shoe sole is warped and fits a little different than the left .,3,Negative
- Tongue feels a little thin for the lace system .,3,Negative
most nikes never do this to me,3,Negative
but made my feet hurt .,,Negative
I have old pairs marked 14 that are exactly the same length as the new 15s .,3,Neutral
Love the look and shoe ,3,Positive
but since the fit was too small anyway I did not return them .,3,Negative
Size runs about a 1/2 size too small on me so maybe order 1/2 size UP from your standard sizing .,3,Negative
Good shoe for a quick walk or some comfortable errand running though .,3,Positive
oki expected a better build shoe  ,3,Positive
But they lasted less than 2 weeks .,3,Negative
I have a dozen+ previous pairs of Asics and will continue to purchase .,3,Positive
Solid shoe however at a great price .,3,Positive
but the size seems way off .,,Negative
Very comfortable fit ,3,Positive
These shoes fit the bill quite well and they look good too .,3,Positive
Not a lot of support .,3,Negative
Ok price .,3,Positive
just not enough cushion ( For me ) in the ball of the foot so I returned them .,3,Negative
Pretty ridiculous ....,3,Negative
This pair lasted nine months .,3,Positive
but I 'll get to my main issues right away . - Feels like a huge bulge in the arch area under the sole .,,Negative
I wore them to work for a week where I have a desk job,3,Neutral
Very light walking shoes .,3,Positive
These are worthless after 3 months .,3,Negative
I do n't normally have arch support problems,3,Neutral
However6.5 in this model leaves an inch between my toes and the front of the shoe .,3,Neutral
Because of thatI 'm running closer to 7:45 miles but they are n't very comfortable .,3,Negative
I have nike revolution 3 size 9.5 and it ’s fit me well,3,Positive
But I think there is some problem about color of shoes .,3,Negative
I love the color ,3,Positive
Not terrific quality,3,Negative
It 's probably my 15th Gel - Kayano model and if they do n't improve the next one,3,Positive
but The Vazee RushV1 did not have the cushion I was hoping for .,,Negative
I 'd suggest a different shoe .,3,Neutral
These were probably the stiffest running shoes I 've ever worn .,3,Negative
Thought about returning them but do n't know if it 's worth the hassle .,3,Negative
They run small ( I ordered 1/2 size more than I thought I 'd need but I wish I had gone up yet another 1/2 size more ) but they are very cushioned and comfy in terms of support .,3,Positive
I ordered the same size that I have been using for New Balance in the past for a perfect fit .,3,Positive
not as comfortable or durable as other Asics models,3,Negative
Brownolivegreenblack and gray . I bought 3 pairs of the black ones in case,3,Neutral
These things rocked .,3,Positive
but wore out on the inner heel padding area in 2 months .,3,Negative
This is a nice looking shoes but a size 10 fits like a size 9 and I 've already wore it .,3,Neutral
New Balance have always been Five - Star shoes for me,3,Positive
I think these will last longer as they have more reinforcement around the the toes and sides .,3,Positive
I am going to loosen the laces a little on my next run and hope they just need a little breaking in .,3,Negative
These are not enjoyable to workout in,3,Negative
Fast shipper .,3,Positive
Almost a wonderful shoe it fits well is good looking,3,Positive
Howeverit would be nice if you have wide sizes for these type of shoes .,3,Neutral
I have the same problem with both shoes ... Durability .,3,Negative
A little tight in the toe box .,3,Negative
Normally I 'm an 11 and a half I have had experience with these shoes running big before so I ordered an 11 and still had to exchange it for a 10 and a half and probably would have been better off with a 10 .,3,Negative
It 's not the shoe,3,Negative
Nice shoe with great traction,3,Positive
do nt buy this shoe . go with adidas nmds or something else .,3,Negative
the wave rider 16 was phenomenal,3,Positive
They look pretty good .,3,Positive
HoweverI always order the same size from Nike,3,Positive
The shoe is fairly comfortable right out of the box .,3,Positive
but the shoe was very tight across the top of my foot and I 'm a fairly flat - footed person .,3,Negative
I would n't advise getting this right away .,3,Negative
I had tried on Asic shoes in a store but they did not have an all black shoe so I found this one on Amazon.com and ordered it in a 2E width,3,Positive
I bought my boyfriend a pair and he usually wears men 's 10.5 but he would have really needed an 11 in these shoes .,3,Negative
as he wears a different style for the gym and dress shoes for work .,3,Neutral
They are ok .. Decent construction snug fit,3,Positive
It 's a very light shoe .,3,Positive
I wish it were n't so as they are so comfortable .,3,Negative
Seems to be sturdybut a little more cushioning in the sole would really be nice .,3,Neutral
The shoes are pretty nice,3,Positive
Comfy except for the sides of my feet being squeezed .,3,Negative
As a resultyour ankle twists and and grinds on very slow jogging or a fast run .,3,Negative
quality not up to snuff .,3,Negative
The insole keeps sliding forward in the shoe .,3,Negative
This brings me to my next gripe which is in order to stretch them out I would need to wear them quite a bit .,3,Negative
Considering the price I ca n't give a higher score of it .,3,Negative
it 's very tough to find a model with a wide width .,3,Negative
Ordered the same size that I wore previously ( 11W ) but these are much wider,3,Negative
As I wear themthe did stretch a bit .,3,Negative
This shoe fit more narrow than previous NB running shoes,3,Negative
I hope they will break in betterbut it is too much of a hassle to return them .,3,Negative
It looks great and seems very durablebut I wish it was more comfortable .,3,Positive
This is a really beautiful shoe .,3,Positive
The shoes fit,3,Positive
The price was right but would NOT buy again .,3,Neutral
Ran a little long but tight in the laces .,3,Negative
Design is very beautiful but I had to return .,3,Neutral
My husband hates these shoes because of the black tongue .,3,Negative
4E width ) that fit me perfectly .,3,Positive
although I had some initial blistering on both heels .,3,Negative
I really needed 10.5 but this is the closest thing I can find ... I was / am extremely satisfied with Dart 6 10.5 extra wides ... but I am unable to find those ... they are tight ... in a way that I may limp for a week after wearing these if my foot does n't conform to them,3,Negative
Wanted to like these but the first pair showed up a very different color than navy blue and appeared to have a size larger insole jammed in them and the second pair showed up looking like Fedex backed over them,3,Negative
I like the comfortable fit and the wide sole,3,Positive
-Sole is ultra lightweight while still featuring Asics signature Gel cushioning and the support Asics support structure for stability -My ankles are very prone to overpronation and I am a flat foot,3,Positive
I ca n't say anything definite yet about arch support until I 've received the half size larger pair and tried them on .,3,Neutral
The insole is also so soft you can feel the support of the shoe and not in a good way ,3,Positive
I 'm just a dad who likes ugly sneakers . I had an original pair of 610 's that I loved .,3,Positive
but they run a bit large and after just a month of use numerous threads are beginning to fray on both shoes .,3,Negative
Especially this pairit seems stiff lacks the support and comfort of previous pairs .,3,Negative
Too small for my husband,3,Negative
Thise shoes I choose 39 - 6.5 it 's to small,3,Negative
No spring to the step .,3,Negative
Would have given 2 more stars but the shoes are kind of uncomfortable .,3,Negative
I wanted to try Asics out as the NB brand trail runners seem to have gotten tighter and smaller for all the new models .,3,Negative
Narrow shoe,3,Negative
Only issue ... above both of my big toes,3,Negative
Be aware to try these shoes if possible .,3,Negative
I 'm too old to use them for running and too young to need idiot laces on them so they work fine .,3,Positive
These are n't made to make you run like a gazelle .,3,Negative
I am swimming in the NB 990 and the internal structural components feel misplaced and off .,3,Negative
I guess I would have to go up at least one full size,3,Neutral
Very comfortable .,3,Positive
they seemed a little tight but I have hard time correctly choosing running shoes .,3,Negative
Great shoes,3,Positive
Quality not the same as on previous models .,3,Negative
I 'd give 4 stars if the insole was n't so terrible .,3,Neutral
however the sole did come off quickly ... :(,3,Positive
That being said there are occasions ( like ALL major Co. 's ) where quality control is an issue .,3,Negative
classic look .,3,Positive
No need to imitate other retarded brands such as Nike .,3,Positive
there are now puny plastic leather details that bend easily .,3,Negative
the mirage was more snug ( which i do n't like ) and the heel - to - forefoot height difference is a bit more ( for me also a negative ) .,3,Negative
Maybe it suits better with outdoor trail running .,3,Neutral
but feels like less cushioning in heel than previous model .,3,Negative
They run small .,3,Negative
This shoe does not have a cushon feel so if you are looking for any type of support under your arch stay away,3,Negative
not really provide a good arch support i think a EE will do the perfect size if you have a EE please lest do the change i am 14 EE,3,Negative
Howeverthe treads on the bottom have already been coming off after only two months .,3,Negative
They are finebut a little small in the toes for running .,3,Neutral
Nice looking shoe,3,Positive
too loose in the heel,3,Negative
At the lower weight the shoes are firmer and more supportive .,3,Positive
I just received these shoes and was very interested in the Nike Presto model .,3,Positive
few issues with this shoes : 1 .,3,Negative
go walk 3 I love it more than go run,3,Positive
Basicallythese are adorable shoes for running errands in your yoga capris just to look cute .,3,Positive
I 'm a fairly experienced runner who runs in Asics Brooks and Saucony shoes,3,Positive
It 's basically a foam bottom so I ( being a runner ) do n't think it would stand up long if you were running outside a lot .,3,Neutral
not fair to label this a trail shoe,3,Negative
plenty of archnot a lot of heel cushion ... reminds me of kmart specials .,3,Negative
They were very small compare to the size .,3,Negative
So of course it 's ganna be snugs .,3,Negative
The tongue gets bunched up when lacing them up .,3,Negative
"Product was far more narrow than "" normal "" sneakers or shoes .",3,Negative
An inexpensive shoe and it is what it is .,3,Negative
Son is still happy and likes the shoes but disappointed he did n't get what he expected .,3,Positive
The main problem is the fit and the stock insole .,3,Negative
Light weight and a good cushion sole make a good shoe ,3,Positive
Kinvara 4 's are lighter with a good look and have similar shape but less cushioning .,3,Neutral
I love this shoe .,3,Positive
I think mine is too tight for running . I hate that,3,Negative
I was hoping to get the same comfort for less money but sadly these were not what i 'd hoped for .... plantar fasciitis was aggravated by these sneakers . Wo n't be wearing these much .,3,Negative
I usually have room in front of my toe with size 15 .,3,Negative
A bit heavy on SLR,3,Negative
A bit too tight in toe area .,3,Negative
I normally wear a 8 or 8.5 size .,3,Neutral
but they are good shoes,3,Positive
I noticed that they were tight on the top of my feet,3,Negative
Unfortunately I did not notice that the shoe has a lot of mesh and some suede like material .,3,Negative
Tends to push my weight outward .,3,Negative
They are smaller than expected and also the sole was n't that impact protecting,3,Negative
Not as comfortable as expectedgreat design .,3,Neutral
I never had any issue with ASICS .,3,Positive
After reading many reviews I bought size 9 and they fit me perfectly .,3,Positive
The bottom somewhat get dirty fast ( as expected due to the color ),3,Negative
Had to return .,3,Negative
I usually wear a 6.5 in dress shoes and go up to a 7 in sneakers but I would recommend going up even further,3,Neutral
Also the shoes ripped .,3,Negative
PersonallyI 'm going back to Brooks Glycerin .,3,Negative
but the sole seemed less cushioned,3,Negative
I returned this shoe .,3,Negative
The fit is a bit small,3,Negative
Just know these did not meet my needs like the 15s and you ca n't get 15s anymore .,3,Negative
I wear a 10.5 4E shoe and did n't think twice about buying the next version .,3,Positive
Great shoes,3,Positive
Looks like a well made shoe,3,Positive
Other Adidas shoe purchased over the years was not a problem same size etc ..,3,Positive
Good foot and ankle support .,3,Positive
I returned them and ordered a 9 E .,3,Negative
I just bought these shoes and the shipping was SUPER FAST   ,3,Positive
New shoes and my feet have never gotten along but I had heel blisters the size of quarters for over the first month .,3,Negative
Not as good quality as expected from a Nike shoe,3,Negative
AnywayI think traditional tongues stick to the foot a bit better .,3,Neutral
I bought this in a 13 wideand feels okay initiallybut once I started running in itI found it was not quite wide enough .,3,Negative
But for some reason runs a bit smaller .,3,Negative
tracktion was not good enough for the person 's work enviroment,3,Negative
Fila makes great shoes .,3,Positive
My own fault I guess I just did n't notice on the pic that there 's no laces just a wire .,3,Negative
It was shipped on time,3,Positive
I was n't expecting these to have so much cushion in them for how light they were but they are great in that sense .,3,Positive
I hope that the mesh is longer lasting than my last running shoes because these cost MORE .,3,Positive
They 're not terrible shoes,3,Positive
I do n't have this problem with adidas .... I may have to stop buying Nike footware,3,Positive
The cushioning of a Hokawith less stack height,3,Negative
Could have provided the memory foam inside .,3,Negative
I returned them for 8 1/2 M Nimbus 15 from ASICS and these are WAY BETTER in fit and comfort .,3,Positive
The pitch of the shoe was uncomfortable after many hours on my feet .,3,Negative
Although they fit they did n't stay as snug on my feet as I would like .,3,Negative
Bought for walking & everyday wearing .,3,Positive
I have history of feet problems like collapsed arches aches,3,Negative
Strangelythere 's no issue with the left shoe .,3,Negative
These are a touch longer than the aforementioned shoes,3,Positive
I bought these in a 2E based on other reviews they are still to tight .,3,Negative
I 'm not going to spend money to have to return again and will live with shoes the way they are but more then likely will not order ASICS again .,3,Negative
I had a pair of Salomon boots that I loved,3,Positive
Not the best running shoe .,3,Negative
It gave me a cut on my left foot . just below the ankle .,3,Negative
The color is n't right and there were some specs on the Nike swish that wo n't come off but I 'm not sending back - they wear ok,3,Negative
Stilljust not a consistent fit with the rest of the speed star line .,3,Negative
I 'm thinking the shoe size might have been mislabeled at the factory .,3,Negative
I have been wearing these shoes for a few days and I am very happy with it .,3,Positive
there are 2 holes on the right and 1 hole on the left where the ball of the foot make contact inside the shoes .,3,Negative
but only if you are darn good ... and really who wants to deal with that constantly .. 5 ) These things are hard as heck to get on ... yes it gets a ( BIT ) easier over time and longer laces will help but wow,3,Positive
The actual fit of the shoe has also been good .,3,Positive
SoI am going to reorder a smaller size .,3,Negative
Has been causing heel blisters .,3,Negative
If you have narrow feet order a wide size .,3,Negative
I 've come to love the wider toe - box so my toes can splay out while running .,3,Positive
This model of shoe runs about 1/2 size too small primarily in the width .,3,Negative
My only issue is that I would like a little more room in the toe box .,3,Negative
These were just as the Kinvara 2s were ( when I trained for my marathon ) but they have improved the upper significantly .,3,Neutral
"The back 3/4 "" just flap off .",3,Negative
This shoe gets the job done,3,Positive
These really hurt my feet so either they are fake or they require a bit more break in time .,3,Negative
So I bought two pair to rotate for running .,3,Positive
They 're just not as good as the old models by the same name .,3,Negative
The thread is not broken and the mesh is intact and not marked,3,Negative
plenty of toe room ( I did n’t get any toenail bruises with these ) .,3,Negative
but I recommend anyone wanting these to either size them at a store before ordering or upgrade a half size .,3,Neutral
I think these are okmy major gripe is the fact that the side stripes are a hard plastic compared to the mesh which results in the edges cutting into your feet when you bend your toes .,3,Negative
If you are looking for a high performance shoe this is not it .,3,Negative
like all other sneakers I 've bought in years past,3,Positive
the ends of my toes curled over the edge ,3,Negative
